1H	2H	3H	4H	5H	1V	2V	3V	4V	5V	Modifications	Chromosome	Student's T-test Significant Avastin_Control	Student's T-test significant	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# Razor Peptides	# Peptides Sequest HT	Student's T-test p-value Avastin_Control	Student's T-test Difference Avastin_Control	Student's T-test Test statistic Avastin_Control	Entrez Gene ID	Ensembl Gene ID	Gene ID	Description	Accession
6,530566	6,691978	6,419476	6,117648	7,690724	6,552869	6,611735	6,380011	6,224594	6,529483		11			4	16	4	1	0	4	0,382232112034488	-0,23034029006958	-0,980779951925375	27122	ENSG00000050165.17	DKK3	Dickkopf-related protein 3 [OS=Homo sapiens]	Q9UBP4
7,59283	6,049401	6,561815	6,984581	6,260092	6,534014	6,23631	6,91517	6,176838	6,346018		12			3	4	3	1	0	3	0,434289137680648	-0,248073863983154	-0,868162048308018	5777	ENSG00000111679.16	PTPN6	Isoform 4 of Tyrosine-protein phosphatase non-receptor type 6 [OS=Homo sapiens]	P29350-4
7,646739	6,051768	6,460861	6,950531	6,261436	6,351545	6,269587	7,250292	5,968105	6,128249		2			3	7	3	1	0	3	0,504464013910156	-0,280711460113525	-0,732516707469035	100174943	ENSSSCG00000013901.1	IFI30	Gamma-interferon-inducible-lysosomal thiol reductase [OS=Sus scrofa]	B3SP85
7,746099	6,057392	6,754172	6,763856	5,841609	6,456036	5,947197	7,323594	5,566609	6,448377		5			4	12	4	1	0	4	0,528353495078869	-0,284263229370117	-0,689623359358427	100157211	ENSSSCG00000000492.3	LYZ	lysozyme c-2 [OS=Sus scrofa]	P12068
7,381098	5,693486	6,478081	7,592831	5,768764	6,304693	6,163812	7,575448	5,504197	5,853507		2			22	51	22	1	0	22	0,623649266393712	-0,302520656585693	-0,530817876814232		ENSG00000115414.18		Isoform 15 of Fibronectin [OS=Homo sapiens]	P02751-15
7,944935	5,545367	6,591607	6,76212	5,818874	6,466439	5,832668	7,749459	5,151748	5,61471		4			3	11	3	1	0	3	0,522013352610158	-0,369575691223145	-0,700866789261512	2244	ENSG00000171564.11	FGB	Fibrinogen beta chain [OS=Homo sapiens]	P02675
7,482925	6,141583	6,402504	6,483009	7,025666	6,771489	6,031681	7,020612	5,822176	6,408452		2			34	88	27	1	7	34	0,306429463469404	-0,296255683898926	-1,17146762230001	397072		C3	Complement C3 [OS=Sus scrofa]	P01025
7,584584	5,959946	6,423059	7,07296	6,295139	6,850553	6,082585	6,801587	6,295475	6,192664		7			7	11	7	1	0	7	0,389305698044026	-0,222564792633057	-0,964743058600134	85477	ENSG00000006747.14	SCIN	ADSEVERIN [OS=Homo sapiens]	Q9Y6U3
7,019116	6,167416	6,332706	6,765512	7,319852	6,571888	6,06722	6,892523	5,966269	6,70376		9			7	9	7	1	0	7	0,306570509770302	-0,280588531494141	-1,17107455637359	397681		APOA4	Apolipoprotein A-IV [OS=Sus scrofa]	O46409
6,966236	6,598117	6,631495	6,861175	6,806176	6,689104	6,638718	6,493433	6,299575	6,263188		2			2	3	2	1	0	2	0,06361084160792	-0,295836162567139	-2,54546341699586	8890	ENSG00000115211.15	EIF2B4	Isoform 2 of Translation initiation factor eIF-2B subunit delta [OS=Homo sapiens]	Q9UI10-2
6,960576	6,450375	6,470771	5,978225	7,532008	6,572877	6,379357	6,836681	5,673722	6,746122		13			40	296	37	1	3	40	0,280246758396546	-0,236638736724854	-1,24754923687971	396996		TF	Serotransferrin [OS=Sus scrofa]	P09571
7,847366	5,925488	6,419397	6,736567	6,015004	6,544469	6,217846	7,232477	5,969459	6,141178		13			15	43	13	1	0	15	0,682835508770217	-0,167678833007813	-0,439747061538174	3936	ENSG00000136167.13	LCP1	Plastin-2 [OS=Homo sapiens]	P13796
6,539949	7,188131	6,447693	6,961215	6,397543	6,466746	6,422291	6,49227	6,37248	6,664625		5			4	8	4	1	0	4	0,316757550690343	-0,223223876953125	-1,14312010133999	397097	ENSSSCG00000000370.2	DGKA	diacylglycerol kinase alpha [OS=Sus scrofa]	P20192
7,971229	5,463852	6,559843	6,662591	5,82372	6,438169	5,756888	7,869491	5,124486	5,414425		4			2	5	2	1	0	2	0,529927612852948	-0,375555229187012	-0,686846938445936	2266	ENSG00000171557.16	FGG	Fibrinogen gamma chain [OS=Homo sapiens]	P02679
7,111318	6,323417	6,421375	6,490996	7,242221	6,602368	6,340045	7,022667	5,856285	6,443291		2			6	12	6	1	0	6	0,359232884701239	-0,264934158325195	-1,03476691287211	2202	ENSG00000115380.19	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1 [OS=Homo sapiens]	Q12805
6,778195	6,714885	6,955313	6,556769	6,816275	6,551503	6,482195	6,039134	6,925753	6,38451		19			2	9	2	1	0	2	0,236226652205745	-0,287668418884277	-1,39235245407652	51690	ENSG00000130332.14	LSM7	U6 snRNA-associated Sm-like protein LSm7 [OS=Homo sapiens]	Q9UK45
6,09241	6,510577	6,424346	6,646017	7,625788	6,279799	6,028671	6,10567	7,158142	6,56835		11			3	7	3	1	0	3	0,442475137052078	-0,231700897216797	-0,85148402855916	574066	ENSSSCG00000009490.2	DCT	L-dopachrome tautomerase [OS=Sus scrofa]	Q4R1H1
6,642401	6,640132	6,970856	6,570834	6,970059	6,341137	6,369609	5,966432	7,0128	6,624311		15			4	8	3	1	1	4	0,265922635958471	-0,295998573303223	-1,29208436587474	3480	ENSG00000140443.13	IGF1R	Insulin-like growth factor 1 receptor [OS=Homo sapiens]	P08069
7,443353	6,023442	6,301949	6,002189	7,343832	6,802178	5,982957	7,277514	5,478968	6,336273		8			48	1022	42	1	7	48	0,510212522725077	-0,247375011444092	-0,72206137092206	396960		ALB	Serum albumin [OS=Sus scrofa]	P08835
6,223025	7,774744	6,501333	6,18183	6,447697	6,504621	6,337997	6,248614	6,719276	6,68027		12			3	7	3	1	0	3	0,734916988524901	-0,127569961547852	-0,36308253908816	8079	ENSG00000089693.10	MLF2	Myeloid leukemia factor 2 [OS=Homo sapiens]	Q15773
7,410583	5,889295	6,541388	6,394732	7,097387	6,805103	5,889942	7,392732	5,337934	6,25622		6			4	8	4	1	0	4	0,391678701112347	-0,33029088973999	-0,959419099067016	720	ENSG00000244731.7	C4A	Complement C4-A [OS=Homo sapiens]	P0C0L4-1
7,376406	6,170398	6,415832	6,394278	7,086398	7,065522	5,902965	6,58265	5,906007	6,736061		9			11	40	11	1	0	11	0,0865978332629799	-0,250021457672119	-2,26086230491359	396998		HPX	Hemopexin [OS=Sus scrofa]	P50828
7,065877	6,136449	6,321707	6,430452	7,432237	6,653902	6,089581	7,078951	6,077454	6,409898		7			8	29	8	1	0	8	0,499043300648068	-0,21538724899292	-0,742457347476816	397688		SERPINA1	alpha-1-antitrypsin [OS=Sus scrofa]	P50447
7,515651	6,281669	5,952739	6,856084	6,705961	6,742784	6,15784	7,11575	6,086354	6,165675					5	63	5	1	0	5	0,595819356942547	-0,208740043640137	-0,575434184960682				Ig lambda chain C region [OS=Sus scrofa]	P01846
6,690279	6,975846	6,556506	6,608909	6,86995	6,312769	6,358603	6,794083	6,077399	6,845224		5			2	3	2	1	0	2	0,177984129384102	-0,262682437896729	-1,63215051561635	285590	ENSG00000174705.12	SH3PXD2B	SH3 and PX domain-containing protein 2B [OS=Homo sapiens]	A1X283
6,719807	6,828731	6,777534	6,694767	6,750888	6,513409	6,509167	6,481738	6,527952	6,523562		6	+	Avastin_Control	3	4	3	1	0	3	0,00101030090596178	-0,243179702758789	-8,58728445263259	221496	ENSG00000161904.11	LEMD2	LEM domain-containing protein 2 [OS=Homo sapiens]	Q8NC56-1
6,744553	6,504879	6,602304	6,664821	7,150712	6,625741	6,844141	6,412038	6,226708	6,375668		X			3	4	3	1	0	3	0,268201201433093	-0,236594867706299	-1,28484803675765	91851	ENSG00000101938.14	CHRDL1	Isoform 4 of Chordin-like protein 1 [OS=Homo sapiens]	Q9BU40-4
6,855737	6,512438	6,9932	6,575739	6,783314	6,601851	6,389482	6,255402	6,84736	6,442051		13			4	13	4	1	0	4	0,220661558044606	-0,236856365203857	-1,45000502972572	9375	ENSG00000125304.8	TM9SF2	Transmembrane 9 superfamily member 2 [OS=Homo sapiens]	Q99805
6,890936	6,720087	6,785939	7,03404	6,213326	6,517548	6,535985	6,604147	6,504729	6,443711					4	20	2	1	0	4	0,178161281722565	-0,207641696929932	-1,63130478032981	397143		CBR1	Carbonyl reductase [NADPH] 1 [OS=Sus scrofa]	Q28960
7,335879	6,373643	6,503584	7,026292	6,193578	6,475642	6,497508	6,819671	6,365426	6,412766		20			4	7	4	1	0	4	0,518963557687457	-0,172392654418945	-0,706310470663055	7052	ENSG00000198959.11	TGM2	Protein-glutamine gamma-glutamyltransferase 2 [OS=Homo sapiens]	P21980
7,037821	6,553053	6,661066	6,67101	6,797013	6,665336	6,559186	6,350497	6,276124	6,722466			+	Avastin_Control	3	4	2	1	0	3	0,0487116901638251	-0,22927074432373	-2,80200944320701				Isoform 2 of Dual specificity mitogen-activated protein kinase kinase 3 [OS=Homo sapiens]	P46734-3
7,074677	6,593951	6,791814	6,729281	6,507795	6,568336	6,247928	6,808642	6,590961	6,34163		12			2	3	2	1	0	2	0,0650809523949185	-0,22800407409668	-2,52397057195193	2802	ENSG00000090615.13	GOLGA3	Golgin subfamily A member 3 [OS=Homo sapiens]	Q08378
6,882063	6,336892	6,36971	6,422053	7,419664	6,35022	6,257357	7,281724	5,82017	6,502714		3			2	4	2	1	0	2	0,486770936275186	-0,243639278411865	-0,765266371483479	7123	ENSG00000163815.5	CLEC3B	Tetranectin [OS=Homo sapiens]	P05452
7,064845	6,648547	6,566658	6,450866	6,908657	6,560142	6,549032	6,617278	6,36807	6,503808		3			2	3	2	1	0	2	0,118722905475748	-0,208248901367187	-1,98057907320895	2960	ENSG00000153767.9	GTF2E1	General transcription factor IIE subunit 1 [OS=Homo sapiens]	P29083
6,825133	6,835126	6,692409	6,777718	6,609641	6,650818	6,475429	6,699046	6,339107	6,430136		13	+	Avastin_Control	3	4	3	1	0	3	0,0426644805746933	-0,229098415374756	-2,93350310064796	23077	ENSG00000005810.17	MYCBP2	E3 ubiquitin-protein ligase MYCBP2 [OS=Homo sapiens]	O75592-1
6,774787	6,642413	6,950702	6,692092	6,672425	6,659639	6,651052	6,296457	6,566815	6,43296		12			2	2	2	1	0	2	0,120136369699979	-0,225099182128906	-1,97024082927631	283337	ENSG00000139651.10	ZNF740	Zinc finger protein 740 [OS=Homo sapiens]	Q8NDX6
6,723091	6,327404	6,038227	7,153568	7,051743	6,928568	6,642099	6,398273	6,042484	6,33154		18			2	2	2	1	0	2	0,564921093790203	-0,190213680267334	-0,62657435471984	55205	ENSG00000074657.13	ZNF532	Zinc finger protein 532 [OS=Homo sapiens]	Q9HCE3
7,424586	5,925999	6,338068	5,956522	7,343408	6,672425	6,104337	7,249825	5,649615	6,472488		6			2	10	2	1	0	2	0,634682535618028	-0,167978572845459	-0,513470418195751	23195	ENSG00000112159.11	MDN1	Midasin [OS=Homo sapiens]	Q9NU22
7,036334	6,287467	6,467371	6,841667	6,954337	6,695668	6,195853	6,852781	6,325701	6,471249		2			11	17	11	1	0	11	0,277111425583809	-0,209184837341309	-1,25710758147375	100144442		F2	Prothrombin [OS=Sus scrofa]	Q19AZ8
6,860414	6,76133	6,761028	6,598413	6,741808	6,616154	6,472486	6,211704	6,814283	6,471917		7			5	12	5	1	0	5	0,13999418024732	-0,227289485931396	-1,83755931499817	440	ENSG00000070669.16	ASNS	Asparagine synthetase [glutamine-hydrolyzing] [OS=Homo sapiens]	P08243-1
6,643856	6,733355	7,004501	6,580447	6,73064	6,669594	6,617651	6,116864	6,584962	6,61471		8			2	2	2	1	0	2	0,269434429340174	-0,21780366897583	-1,28095621577716	2222	ENSG00000079459.12	FDFT1	squalene synthase [OS=Homo sapiens]	P37268
6,627207	6,80495	6,752985	6,684237	6,82203	6,593159	6,809141	6,313783	6,394681	6,431602		13			2	2	2	1	0	2	0,065338725766929	-0,229808330535889	-2,52025917583532	83548	ENSG00000136152.14	COG3	Conserved oligomeric Golgi complex subunit 3 [OS=Homo sapiens]	Q96JB2-1
6,799491	6,739439	6,831588	6,613176	6,733344	6,569791	6,591892	6,20041	6,744155	6,513322		6			3	27	2	1	0	3	0,14634388270378	-0,21949348449707	-1,7993802337908	6428	ENSG00000112081.16	SRSF3	Serine/arginine-rich splicing factor 3 [OS=Homo sapiens]	P84103
6,624764	6,427734	6,54044	6,568306	7,34989	6,520368	6,581903	6,639689	6,456145	6,465941		12			14	34	8	1	0	14	0,414833243027511	-0,169417381286621	-0,908857815629461	397592	ENSSSCG00000017428.1	JUP	Junction plakoglobin [OS=Sus scrofa]	Q8WNW3
7,409778	5,95794	6,447873	6,852218	6,633188	6,597534	6,224703	6,876081	6,42311	6,444904		13			4	8	4	1	0	4	0,551862238222949	-0,146932697296143	-0,648754297424248	115207	ENSG00000178695.5	KCTD12	BTB/POZ domain-containing protein KCTD12 [OS=Homo sapiens]	Q96CX2
6,576422	7,025877	6,71844	6,848348	6,304636	6,294734	6,586387	6,630732	6,472999	6,627686		X			2	3	2	1	0	2	0,278024718337461	-0,172236919403076	-1,25431270337538	11152	ENSG00000196998.17	WDR45	Isoform 3 of WD repeat domain phosphoinositide-interacting protein 4 [OS=Homo sapiens]	Q9Y484-3
7,719045	5,79402	5,292242	7,11451	6,519034	6,685761	6,064835	6,406851	6,775262	6,640922		13			21	67	19	1	2	21	0,942996659050592	0,0269560813903809	0,0760961160259261	397128		MX1	Interferon-induced GTP-binding protein Mx1 [OS=Sus scrofa]	P27594
7,324393	5,588616	7,186542	6,968091	5,793176	6,020812	5,877536	7,651546	6,32302	5,858135		1			2	5	2	1	0	2	0,529894591231667	-0,225953578948975	-0,686905120996973	6275	ENSG00000196154.11	S100A4	Protein S100-A4 [OS=Homo sapiens]	P26447
6,498429	7,20294	6,46817	6,767774	6,639696	6,558172	6,621783	6,502293	6,310094	6,664573		16			2	4	2	1	0	2	0,254485887757531	-0,184018898010254	-1,32933817131497	29105	ENSG00000070761.7	C16orf80;CFAP20	Cilia- and flagella-associated protein 20 [OS=Homo sapiens]	Q9Y6A4
7,068525	6,699051	6,602143	6,527048	6,716323	6,510733	6,846745	6,508669	6,583205	5,988611		3			2	3	2	1	0	2	0,245741215594693	-0,235025501251221	-1,35894159405328	7707	ENSG00000163848.19	ZNF148	Zinc finger protein 148 [OS=Homo sapiens]	Q9UQR1
6,707745	6,693873	6,527158	7,006883	6,685453	6,802369	6,579226	6,518638	6,351509	6,288514		12			4	5	4	1	0	4	0,18983002061967	-0,216171169281006	-1,57743827518657	196528	ENSG00000189079.15	ARID2	AT-rich interactive domain-containing protein 2 [OS=Homo sapiens]	Q68CP9-1
6,796402	5,993206	7,297885	6,777235	6,503001	6,284833	6,135191	7,118019	6,527221	6,39875		15			3	7	3	1	0	3	0,163030548333638	-0,180742835998535	-1,70690561577115	2184	ENSG00000103876.11	FAH	Fumarylacetoacetase [OS=Homo sapiens]	P16930
7,002617	6,501969	6,746069	6,729103	6,610284	6,623115	6,600555	6,375164	6,721365	6,270066		1			3	4	3	1	0	3	0,120934481135013	-0,199955368041992	-1,96446182193591	6464	ENSG00000160691.18	SHC1	Isoform 6 of SHC-transforming protein 1 [OS=Homo sapiens]	P29353-6
7,184409	5,900591	6,309846	6,199607	7,467546	6,599864	5,930458	7,292706	5,742356	6,591653		13			6	37	6	1	0	6	0,607984944222807	-0,180992412567139	-0,555772903395713	397585		FETUIN;AHSG	Alpha-2-HS-glycoprotein [OS=Sus scrofa]	P29700
